"filename", "language", "Python", "TOML", "Markdown", "MS SQL", "Ini", "comment", "blank", "total"
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_market_data\alpaca_stock_client.py", "Python", 220, 0, 0, 0, 0, 13, 44, 277
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_market_data\alpaca_stream_client.py", "Python", 149, 0, 0, 0, 0, 62, 25, 236
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_accounts_client.py", "Python", 163, 0, 0, 0, 0, 56, 28, 247
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_assets_client.py", "Python", 61, 0, 0, 0, 0, 6, 12, 79
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_calendar_client.py", "Python", 48, 0, 0, 0, 0, 5, 13, 66
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_clock_client.py", "Python", 34, 0, 0, 0, 0, 5, 11, 50
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_order_stream_client.py", "Python", 86, 0, 0, 0, 0, 9, 17, 112
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_orders_client.py", "Python", 228, 0, 0, 0, 0, 129, 32, 389
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_portfolio_client.py", "Python", 65, 0, 0, 0, 0, 45, 12, 122
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_positions_client.py", "Python", 89, 0, 0, 0, 0, 41, 17, 147
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\alpaca_trading\alpaca_watchlist_client.py", "Python", 145, 0, 0, 0, 0, 100, 42, 287
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\alpaca\exceptions.py", "Python", 66, 0, 0, 0, 0, 30, 51, 147
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\dao\base_dao.py", "Python", 73, 0, 0, 0, 0, 35, 11, 119
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\dao\data_stream_session_dao.py", "Python", 37, 0, 0, 0, 0, 24, 8, 69
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\dao\enriched_data_dao.py", "Python", 34, 0, 0, 0, 0, 20, 8, 62
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\dao\order_dao.py", "Python", 112, 0, 0, 0, 0, 72, 15, 199
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\dao\trade_dao.py", "Python", 86, 0, 0, 0, 0, 31, 13, 130
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\database.py", "Python", 86, 0, 0, 0, 0, 12, 11, 109
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\migrations\100_create_initial_schema.sql", "MS SQL", 0, 0, 0, 10, 0, 2, 3, 15
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\migrations\201_create_orders_table.sql", "MS SQL", 0, 0, 0, 16, 0, 1, 0, 17
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\migrations\202_create_trades_table.sql", "MS SQL", 0, 0, 0, 16, 0, 2, 1, 19
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\migrations\203_create_enriched_data_table.sql", "MS SQL", 0, 0, 0, 70, 0, 2, 1, 73
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\migrations\204_create_data_stream_session_table.sql", "MS SQL", 0, 0, 0, 9, 0, 2, 1, 12
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\migrations\300_create_indexes.sql", "MS SQL", 0, 0, 0, 2, 0, 2, 2, 6
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\migrations\migration_manager.py", "Python", 28, 0, 0, 0, 0, 11, 10, 49
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\schema.sql", "MS SQL", 0, 0, 0, 122, 0, 10, 9, 141
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\data_stream_session\delete_all_data_stream_session.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\data_stream_session\fetch_data_stream_session_by_timestamp.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\data_stream_session\insert_data_stream_session.sql", "MS SQL", 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\data_stream_session\update_data_stream_session_end_time.sql", "MS SQL", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\enriched_data\delete_all_enriched_data.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\enriched_data\fetch_enriched_data_by_order_id.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\enriched_data\insert_enriched_data.sql", "MS SQL", 0, 0, 0, 79, 0, 0, 0, 79
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\delete_all_orders.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\delete_order.sql", "MS SQL", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\fetch_all_orders_by_status.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\fetch_all_orders_by_symbol_and_status.sql", "MS SQL", 0, 0, 0, 3, 0, 1, 0, 4
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\fetch_order_by_id.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\fetch_orders_by_status.sql", "MS SQL", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\fetch_orders_by_symbol_and_status.sql", "MS SQL", 0, 0, 0, 4, 0, 1, 0, 5
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\fetch_unsettled_orders.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\insert_order.sql", "MS SQL", 0, 0, 0, 3, 0, 1, 0, 4
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\update_order.sql", "MS SQL", 0, 0, 0, 7, 0, 1, 0, 8
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\orders\update_order_as_settled.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\delete_all_trades.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\delete_trade.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\fetch_open_positions.sql", "MS SQL", 0, 0, 0, 20, 0, 1, 0, 21
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\fetch_trades_by_data_range.sql", "MS SQL", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\fetch_trades_by_order_id.sql", "MS SQL", 0, 0, 0, 3, 0, 1, 0, 4
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\fetch_unsettled_trades.sql", "MS SQL", 0, 0, 0, 1, 0, 3, 1, 5
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\insert_trade.sql", "MS SQL", 0, 0, 0, 3, 0, 2, 1, 6
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\update_settled_trades.sql", "MS SQL", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\sajit\AlgoRoyale\src\algo_royale\clients\db\sql\trades\update_trade.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\sajit\AlgoRoyale\src\algo_royale\config\config.ini", "Ini", 0, 0, 0, 0, 76, 0, 17, 93
"c:\Users\sajit\AlgoRoyale\src\algo_royale\config\config.py", "Python", 41, 0, 0, 0, 0, 42, 13, 96
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\adapter\adapter_container.py", "Python", 114, 0, 0, 0, 0, 3, 20, 137
